7:6,8,29,58,138,301,302,616,866,1762
18:17,32,534,10494,17608,24164,43893,47812,70331,85561
36:17,29,70,84,354,518,616,654,891,1023
37:17,65,84,103,296,1239,6009,9617,12202,27820
41:17,245,354,356,542,616,902,3890,4499,18867
42:84,518,1009,1102,2008,2193,3824,7451,14728,29548
43:17,76,226,564,698,1678,2139,2983,14906,29732
44:15,84,97,302,542,616,1217,2316,2338,10459
45:4858,8464,11751,19829,31315,43527,53016,53818,83367,106466
46:6,8,109,245,302,354,616,736,1102,38663
59:6,15,58,76,119,354,542,654,1039,1102
60:6,29,58,76,84,162,285,302,726,6011
69:58,559,654,813,1217,5465,8276,9931,14551,31063
70:76,84,301,302,354,650,654,31670,69282,74624
94:119,322,559,6270,8276,9617,11174,11626,12066,85755
106:6,15,29,32,84,101,153,162,518,15583
115:8,15,29,58,354,709,861,966,2816,2982
116:70,76,226,564,719,834,986,1326,2318,29001
142:8,32,58,84,296,454,709,1965,8487,18867
148:70,378,500,986,1023,1405,5103,6024,13544,18867
150:8,17,289,301,302,322,542,564,650,861
156:8,58,84,302,354,568,616,2193,3420,7029
161:29,84,179,616,1039,1403,1926,9581,12259,13062
171:6,15,84,138,289,302,354,650,726,28641
172:58,84,162,285,322,542,654,861,1217,1937
177:6,15,17,29,58,76,84,542,616,654
196:15,29,289,354,427,616,650,3476,4578,17164
202:8,15,58,138,220,301,302,354,518,1102
211:17,481,815,1131,7794,17822,19749,67519,106950,122005
217:17,131,167,518,1405,2548,7451,9885,55991,67766
220:17,186,1342,7478,7649,10178,15660,22713,64973,93455
223:6,58,119,167,322,518,559,616,650,654
225:15,70,84,94,302,353,542,654,1187,3476
228:17,224,302,354,361,564,568,650,10039,37864
229:6,15,58,84,94,162,322,518,1410,2068
231:8,58,70,76,84,301,302,354,654,2904
238:441,3618,4421,4513,13814,13881,18201,26712,42397,66781
241:6,15,29,58,84,518,542,616,650,7973
249:15,17,70,84,94,301,518,1827,8483,91955
250:8,58,84,138,285,542,564,616,2031,3250
253:189,1527,3107,3140,5624,6434,7831,8848,16519,21771
257:6,15,17,65,289,296,354,542,709,861
272:8,29,58,138,301,354,654,866,1102,30556
273:15,17,101,138,301,302,354,736,902,967
288:15,17,29,58,76,84,116,616,1548,5998
290:17,76,117,138,226,354,564,654,13501,18867
291:17,84,518,736,1102,16625,16852,26067,33734,61628
292:58,76,138,285,301,495,542,616,654,10930
294:6,8,17,76,289,301,302,322,354,1102
328:58,84,301,302,319,354,361,654,866,899
331:6,15,17,162,302,542,650,10459,11208,11888
361:8,29,58,138,301,354,616,650,736,1762
376:6,17,29,58,84,285,302,395,616,8683
384:15,17,32,61,518,542,616,650,1979,4940
401:15,29,58,138,301,354,616,899,1009,1102
402:15,162,285,289,302,654,861,3304,4793,16056
410:463,801,984,1013,1147,1326,4755,7838,8860,10041
448:8,15,76,245,302,542,564,598,616,17532
449:17,65,70,81,226,616,1039,5214,11484,54210
450:15,65,116,193,302,559,654,1039,5567,8276
452:17,713,749,2703,5869,7264,13523,15808,33330,36183
476:17,70,245,398,508,4807,6164,8213,69277,71577
488:15,17,518,542,616,1102,1196,1548,3304,4478
490:15,17,61,101,138,301,302,354,363,1762
494:11,15,17,58,138,356,542,616,654,6923
514:17,76,416,574,2103,2833,5214,8276,9874,18287
525:70,84,116,245,301,302,354,564,1187,52303
535:6,17,29,138,289,301,354,518,1102,14586
536:8,70,76,84,97,302,616,654,813,8276
538:76,301,302,354,564,616,654,1102,1589,10269
539:17,29,58,138,564,654,861,1039,1196,7409
564:6,65,76,84,97,289,650,709,1102,1891
582:6,15,29,76,84,138,162,322,616,1550
585:6,15,17,138,185,245,373,654,6491,35767
590:8,29,101,301,354,654,1762,2073,11108,22912
618:17,76,226,262,354,542,564,780,1462,8359
627:1077,4671,7334,11539,12884,32661,33972,42376,48343,83175
632:17,76,81,226,1435,1749,5246,12090,13371,105237
633:8,15,58,61,302,564,654,902,1039,1196
634:17,70,76,226,262,986,3423,25910,30486,48076
646:335,546,709,1913,1995,20382,20467,27018,79374,81589
666:4510,5801,10192,10981,11126,11681,40086,68427,95977,119096
667:15,17,353,542,564,1086,1405,2200,8527,37653
678:8,17,58,65,76,720,901,1535,21462,22518
680:17,29,58,65,138,518,559,616,650,654
681:245,441,719,764,1744,4513,5480,6411,16036,18783
682:44,336,709,1528,7711,9491,18867,19236,26376,29962
683:226,669,866,24415,71448,95791,97127,101184,101928,112536
684:984,2103,2318,5480,9935,10493,11470,22890,29161,32441
715:81,1547,2543,4671,9435,12861,17967,21926,59850,72609
716:17,76,302,616,650,654,1196,15366,17480,56166
741:168,301,574,1803,3709,5235,8733,8860,13460,55392
750:6,8,15,138,559,1102,1382,2059,2200,2369
754:6,17,32,356,542,709,2085,4034,8546,18867
756:84,285,289,354,616,650,837,1102,1217,1476
757:17,45,285,616,698,1196,1535,17072,17894,31567
758:15,356,407,1109,1240,4374,10046,15676,19354,46128
763:17,29,84,138,289,322,354,564,650,736
773:17,76,302,6149,7742,22569,28635,41290,43971,94677
774:6,17,32,65,116,518,521,1196,1245,4669
775:6,15,58,301,354,518,542,559,1102,13070
782:518,654,1039,1825,7145,9617,61300,71891,100244,103144
784:6,17,162,289,356,518,542,787,861,1196
793:116,398,654,3250,3448,3628,4756,10075,13636,14193
803:17,70,84,138,245,947,1119,2789,4420,10511
813:6,17,61,289,518,542,564,616,650,8276
815:8,15,58,61,76,542,564,654,749,37240
817:6,8,29,58,138,301,736,749,866,1102
818:463,984,1230,2103,2642,5480,5488,7235,7711,15624
823:17,28,94,245,710,1023,1744,21145,71891,103784
825:8,70,94,301,518,616,654,1102,1119,7869
833:8,58,220,302,559,1410,1548,2369,2982,17164
835:15,58,101,356,518,542,616,654,902,8276
838:17,288,2715,6344,8066,9412,46541,47089,59116,59120
844:6,8,29,58,70,76,301,354,736,1762
856:6,138,162,303,364,598,709,1958,5567,13498
857:6,15,84,162,289,302,354,650,709,3476
874:296,302,518,932,1696,8398,9617,19669,21145,23723
899:15,17,301,363,364,709,1410,1815,5567,10930
900:2447,3829,4699,4719,14964,16155,31369,34573,87324,93302
911:76,564,2139,4586,16701,20836,21835,43400,54338,87631
918:17,58,70,84,94,327,361,650,736,2917
925:6,15,17,76,302,564,654,1806,13901,20277
926:6,58,84,116,302,322,354,861,1550,7973
937:138,302,354,518,616,654,736,776,1119,3915
964:17,65,94,119,353,947,970,2403,3207,4268
970:8,17,2656,4300,4613,5010,5998,14636,62975,83571
977:15,17,29,354,518,554,650,709,1217,11154
981:1002,1256,1757,1760,2715,3618,4513,6315,13881,14955
982:17,65,84,94,131,245,302,1119,2935,4420
984:15,17,395,616,654,709,1109,1217,4268,22047
992:17,70,226,245,508,780,2068,3137,8511,15992
